token	corpus size	all contexts size	frequency	co-frequency	specificity
鏡	78029	20336	4	3	1.28
狩り	78029	20336	4	3	1.28
まく	78029	20336	4	3	1.28
住み	78029	20336	4	3	1.28
集落	78029	20336	4	3	1.28
命じ	78029	20336	4	3	1.28
村人	78029	20336	4	3	1.28
前編	78029	20336	4	3	1.28
後編	78029	20336	4	3	1.28
仕業	78029	20336	4	3	1.28
弓	78029	20336	4	3	1.28
おもしろい	78029	20336	4	3	1.28
新型	78029	20336	4	3	1.28
そつ	78029	20336	4	3	1.28
切	78029	20336	4	3	1.28
艮	78029	20336	4	3	1.28
味方	78029	20336	4	3	1.28
早く	78029	20336	4	3	1.28
脅かす	78029	20336	4	3	1.28
カッセン	78029	20336	4	3	1.28
鯰	78029	20336	4	3	1.28
ナマズ	78029	20336	4	3	1.28
哀れ	78029	20336	4	3	1.28
一族	78029	20336	4	3	1.28
授け	78029	20336	4	3	1.28
火の粉	78029	20336	4	3	1.28
舞う	78029	20336	4	3	1.28
田染	78029	20336	4	3	1.28
交わす	78029	20336	4	3	1.28
ホンモノ	78029	20336	4	3	1.28
川島	78029	20336	4	3	1.28
五	78029	20336	32	12	1.28
追儺	78029	20336	39	14	1.28
陰陽	78029	20336	39	14	1.28
青鬼	78029	20336	57	19	1.27
説明	78029	20336	19	8	1.24
羅刹	78029	20336	19	8	1.24
地方	78029	20336	19	8	1.24
門	78029	20336	19	8	1.24
聞い	78029	20336	19	8	1.24
つけ	78029	20336	19	8	1.24
映画	78029	20336	19	8	1.24
仕事	78029	20336	26	10	1.21
本来	78029	20336	16	7	1.21
モノ	78029	20336	16	7	1.21
かけ	78029	20336	16	7	1.21
今日	78029	20336	16	7	1.21
しまっ	78029	20336	16	7	1.21
名	78029	20336	44	15	1.20
宮中	78029	20336	13	6	1.19
敵	78029	20336	13	6	1.19
守護	78029	20336	13	6	1.19
回避	78029	20336	7	4	1.19
念	78029	20336	7	4	1.19
記さ	78029	20336	7	4	1.19
大津	78029	20336	7	4	1.19
従っ	78029	20336	7	4	1.19
悪事	78029	20336	7	4	1.19
地蔵	78029	20336	7	4	1.19
具体	78029	20336	7	4	1.19
すむ	78029	20336	7	4	1.19
重ね	78029	20336	7	4	1.19
場	78029	20336	7	4	1.19
古典	78029	20336	7	4	1.19
穴	78029	20336	7	4	1.19
大将	78029	20336	7	4	1.19
感染	78029	20336	7	4	1.19
ウイルス	78029	20336	7	4	1.19
センス	78029	20336	7	4	1.19
禿げ頭	78029	20336	7	4	1.19
ハゲ	78029	20336	7	4	1.19
血	78029	20336	7	4	1.19
劇	78029	20336	7	4	1.19
思わ	78029	20336	23	9	1.18
生活	78029	20336	23	9	1.18
道	78029	20336	52	17	1.18
特定	78029	20336	10	5	1.17
共	78029	20336	10	5	1.17
読ま	78029	20336	10	5	1.17
集め	78029	20336	10	5	1.17
1971	78029	20336	2	2	1.17
あかおに	78029	20336	2	2	1.17
畏敬	78029	20336	2	2	1.17
追い	78029	20336	2	2	1.17
無用	78029	20336	2	2	1.17
元々	78029	20336	2	2	1.17
固有	78029	20336	2	2	1.17
隆志	78029	20336	2	2	1.17
向こう側	78029	20336	2	2	1.17
経典	78029	20336	2	2	1.17
示さ	78029	20336	2	2	1.17
書物	78029	20336	2	2	1.17
国文	78029	20336	2	2	1.17
ぬ	78029	20336	2	2	1.17
鉄輪	78029	20336	2	2	1.17
たつ	78029	20336	2	2	1.17
大師	78029	20336	2	2	1.17
崖	78029	20336	2	2	1.17
鳥羽	78029	20336	2	2	1.17
祖父	78029	20336	2	2	1.17
白河	78029	20336	2	2	1.17
憑か	78029	20336	2	2	1.17
限ら	78029	20336	2	2	1.17
玄関	78029	20336	2	2	1.17
原像	78029	20336	2	2	1.17
1981	78029	20336	2	2	1.17
俗説	78029	20336	2	2	1.17
羅城	78029	20336	2	2	1.17
塚	78029	20336	2	2	1.17
冠し	78029	20336	2	2	1.17
大型	78029	20336	2	2	1.17
オニオコゼ	78029	20336	2	2	1.17
浅蜊	78029	20336	2	2	1.17
オニヤンマ	78029	20336	2	2	1.17
オニユリ	78029	20336	2	2	1.17
有する	78029	20336	2	2	1.17
紐付け	78029	20336	2	2	1.17
オニヒトデ	78029	20336	2	2	1.17
茸	78029	20336	2	2	1.17
いぼ	78029	20336	2	2	1.17
きのこ	78029	20336	2	2	1.17
郭公	78029	20336	2	2	1.17
慣習	78029	20336	2	2	1.17
付い	78029	20336	2	2	1.17
異能	78029	20336	2	2	1.17
才能	78029	20336	2	2	1.17
冷酷	78029	20336	2	2	1.17
さま	78029	20336	2	2	1.17
債鬼	78029	20336	2	2	1.17
多少	78029	20336	2	2	1.17
悪く	78029	20336	2	2	1.17
かくれんぼ	78029	20336	2	2	1.17
捕まえる	78029	20336	2	2	1.17
食い	78029	20336	2	2	1.17
おろし器	78029	20336	2	2	1.17
粗く	78029	20336	2	2	1.17
訛	78029	20336	2	2	1.17
下る	78029	20336	2	2	1.17
基づき	78029	20336	2	2	1.17
冥界	78029	20336	2	2	1.17
出歩く	78029	20336	2	2	1.17
733	78029	20336	2	2	1.17
草紙	78029	20336	2	2	1.17
及ぼす	78029	20336	2	2	1.17
みなし	78029	20336	2	2	1.17
制圧	78029	20336	2	2	1.17
威嚇	78029	20336	2	2	1.17
育てる	78029	20336	2	2	1.17
世阿弥	78029	20336	2	2	1.17
妖	78029	20336	2	2	1.17
丹波	78029	20336	2	2	1.17
滑稽	78029	20336	2	2	1.17
両国	78029	20336	2	2	1.17
ひや	78029	20336	2	2	1.17
むすめ	78029	20336	2	2	1.17
趣向	78029	20336	2	2	1.17
こぐ	78029	20336	2	2	1.17
怒ら	78029	20336	2	2	1.17
戦時	78029	20336	2	2	1.17
プロパガンダ	78029	20336	2	2	1.17
浜田	78029	20336	2	2	1.17
廣介	78029	20336	2	2	1.17
呼	78029	20336	2	2	1.17
晴	78029	20336	2	2	1.17
分ける	78029	20336	2	2	1.17
償わ	78029	20336	2	2	1.17
きち	78029	20336	2	2	1.17
緑色	78029	20336	2	2	1.17
眠っ	78029	20336	2	2	1.17
愚痴	78029	20336	2	2	1.17
パーマ	78029	20336	2	2	1.17
慣用	78029	20336	2	2	1.17
洗濯	78029	20336	2	2	1.17
果物	78029	20336	2	2	1.17
申	78029	20336	2	2	1.17
酉	78029	20336	2	2	1.17
飲ま	78029	20336	2	2	1.17
封じ	78029	20336	2	2	1.17
勧善	78029	20336	2	2	1.17
懲悪	78029	20336	2	2	1.17
回す	78029	20336	2	2	1.17
比丘	78029	20336	2	2	1.17
ひふ	78029	20336	2	2	1.17
くめ	78029	20336	2	2	1.17
向き合っ	78029	20336	2	2	1.17
後ろ	78029	20336	2	2	1.17
広げ	78029	20336	2	2	1.17
上げ	78029	20336	2	2	1.17
もらえ	78029	20336	2	2	1.17
さかのぼり	78029	20336	2	2	1.17
払っ	78029	20336	2	2	1.17
例える	78029	20336	2	2	1.17
根城	78029	20336	2	2	1.17
